mission,year,country,location,latitude,longitude,Infantry,NoTroops,Reserve,hq,UNPOL,Med,Av,UNMO,ave.no.troops
MINURSO,2004,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2004,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2004,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2004,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2004,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,2,0,0,0,0,0
MINURSO,2004,Western Sahara,Smara,26.73841,-11.67194,0,0,0,2,0,0,0,0,0
MINURSO,2005,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2005,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2005,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2005,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2005,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2005,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2005,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2005,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2005,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2005,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2005,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,2,0,0,0,0,0
MINURSO,2005,Western Sahara,Smara,26.73841,-11.67194,0,0,0,2,0,1,0,0,0
MINURSO,2005,Western Sahara,Smara,26.73841,-11.67194,0,NA,0,2,0,1,0,0,0
MINURSO,2006,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2006,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2006,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2006,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2006,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2006,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2006,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2006,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2006,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2006,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2007,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2007,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2007,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2007,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2007,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2007,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2007,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2007,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2007,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2007,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2007,Western Sahara,Smara,26.73841,-11.67194,0,0,0,0,0,0,0,0,0
MINURSO,2008,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2008,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2008,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2008,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2008,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2008,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2008,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2008,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2008,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2008,Western Sahara,Smara,26.73841,-11.67194,0,0,0,0,0,0,0,0,0
MINURSO,2008,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2009,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2009,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2009,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2009,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2009,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2009,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2009,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2009,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2009,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2009,Western Sahara,Smara,26.73841,-11.67194,0,0,0,0,0,0,0,0,0
MINURSO,2009,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2010,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2010,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Smara,26.73841,-11.67194,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2010,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,0,0,0,0,0,0
MINURSO,2011,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2011,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Smara,26.73841,-11.67194,0,0,0,0,0,0,0,0,0
MINURSO,2011,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2012,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2012,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,0,0,0,0,0,0
MINURSO,2012,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2012,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2012,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2012,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2012,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2012,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2012,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2012,Western Sahara,Smara,26.73841,-11.67194,0,0,0,0,0,0,0,0,0
MINURSO,2012,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
